acronym, definition
OOTW, Operations Other Than War
OPA, Office of Program Appraisal
OPA, Other Procurement, Army
OPEVAL, Operational Evaluation
OPLAN, Operational Plan
OPN, Other Procurement, Navy appropriation
OPNAV, Chief of Naval Operations staff
OPPA, Officer of Policy, Planning and Analysis
OPR, Office of Primary Responsibility
OPREP, Operational Report
OPTEMPO, Operational Tempo
OPTEVFOR, Operational Test & Evaluation Force
OSD, Office of the Secretary of Defense / or Operational Requirements Document
OSD PA&E, Office of the Secretary of DefenseProgram Analysis & Evaluation
OSINT, Open Source Intelligence
OSIP, Operational Safety Improvement Program
OSO, Operational Support Officer
OT, Operational Test
OT&E, Operational Test and Evaluation
OTRR, Operational Test Readiness Review
OUSDAT&L, Office of the Undersecretary of DefenseAcquisition, Technology, and Logistics
OUSDC, Office of the Undersecretary of DefenseComptroller
OUSDI, Office of the Undersecretary of DefenseIntelligence
OUSDP, Office of the Undersecretary of DefensePolicy
OV1, Operational View1
P&P, Plans & Programs
P&R, Programs & Resources
P31, Pre-Planned Product Improvement
PA, Prior Approval
PA&E, Program Analysis & Evaluation
PAA, Primary Aircraft Authorization
PAC, Program Acquisition Cost
PACAF, Pacific Air Forces
PACOM, Pacific Command
PANMC, Procurement of Ammunition, Navy & Marine Corps appropriation
PAO, Public Affairs Office
PARM, Participating Manager
PAUC, Program Acquisition Unit Cost
PB, President's Budget
PBAD, Programs Budget & Analysis Division of Joint Staff
PBD, Program Budget Decision
PBIS, Program Budget Information Systems
PBL, Performance Based Logistics
PBR, Program Budget Review
PCO, Procurement Contracting Officer
PCP, Program Change Proposal
PD, Project Directive
PDASD, Principal Deputy, Assistant Secretary of Defense
PDM, Program Decision Memorandum
PDR, Preliminary Design Review
PDRC, Program Development Review Committee
PDRR, Program Definition and Risk Reduction
PDS, Program Data System
PDWG,JRACPilot Demonstration Working Group
PE, Program Elementbudget funding line
PEG, Program Evaluation GroupUSMC and USA
PEM, Program Element MonitorUSAF
PEO, Program Executive Officer
PEO-C41, Program Executive Office for Command, Control, Communication, Computers and Intel
PEO-EIS, Program Executive Office for Enterprise Information Systems
PERSTEMPO, Personnel Tempo
PIA, Post-Independent Analysis
PLANORD, Planning Order
PM, Program Manager
PMA, Program Manager, Air
PMB, Performance Measurement Baseline
PMC, Procurement, Marine Corps appropriation / or Partial Mission Capable
PMD, Program Management Directive
PME, Professional Military Education
PMO, Program Management Office
PMS, Program Manager, Sea
PMW, Program Manager, Weapons
POA&M, Plan Of Action & Milestones
POC, Point Of Contact
POI, Program of Instruction
POLAD, Political Advisor
POM, Program Objective Memorandum
POR, Program Of Record
POTUS, President of the United States
PP&O, Plans, Policies & OperationsUSMC
PPBC, Planning, Programming, and Budgeting CommitteeArmy
PPBE, Planning, Programming, Budgeting & Execution System
PPBS, Planning, Programming and Budgeting System
PPI, POM Preparation Instructions
PR, Program Reviewbetween POM's
PRC, Program Review Council
PRE, Program Related Engineering
PRESBUD, President's Budget
PRG, Program Review GroupUSMC
PRL, Program Related Logistics
PRR, Production Readiness Review
PSD, Program Summary Document
PSM, Professional Staff Member
PST, Product Support Team
PWG, Program Working GroupUSMC
PWR, Program Wholeness Review
QAPR, Quarterly Analysis & Program Review
QDR, Quadrennial Defense Review
QFD, Quality Functional Deployment
QFR, Questions For the Record
QFR/IFR, Quarterly Force Review / Issued for Review
QPR, Quarterly Progress Review
QQPRI, Qualitative and Quantitative Personnel Requirement InformationArmy
R&D, Research & Development
R&M, Reliability & Maintainability
R3B, Resources Requirements Review Board
RAD, Resource Allocation Document
RAPIDS, Resource Allocation Programming Information Decision System
RCOH, Reserve Component
RCOH, Refueling Complex OverHaul
RDC, Rapid Deployment Capability
RDD, Army Requirements Documentation Directorate
RDT&E, Research, Development, Test & Evaluation
REF, Rapid Equipping Force
REF, Ready Expeditionary Force
RFB, Request for Bid
RFI, Request for Information
RFP, Request for Proposal
RGD, Real Growth Data
RGS, Requirements Generation System
RIK, Replacement In Kind
RM&S, Reliability, Maintainability & Supportability
RO, Requirements Officer
ROC/POE, Required Operational Capabilities & Projected Operational Environment
ROI, Return On Investment
ROMO, Range of Military Operations
RRP, Rapid Response Process
RS, Resource Sponsor
RSR, Requirements Strategy Review
RSV, Reconnaissance-Surveillance Vehicle
S&T, Science and Technology
S/W, Software
SA, Secretary of the Army
SAB, Scientific Advisory BoardUSAF
SAC, Senate Appropriations Committee
SAC-D, Senate Appropriations Committee, sub-committee on Defense
SADBU, Small and Disadvantaged Business Utilization Office
SAE, ServiceSeniorAcquisition Executive
SAF, Secretary of the Air Force
SAFAQ, Office of the Secretary of the Air Force for Acquisition
SAGIS, Senior Advisory Group / or Sub-Saharan Africa in the Global Information Society
SAMP, Single Acquisition Management Plan
SAP, Special Access Program
SAR, Special Access Required / or Selected Acquisition Report
SASC, Senate Armed Services Committee
SBIR, Small Business Innovative Research
SBIRS, Space Based Infra-Red Surveillance
SCHIP, State Childrens Health Insurance Program
SCN, Shipbuilding Construction, Navy appropriation
SCP, Strategic Capabilities Plan / or Sponsor Change Proposal
SD+A860D, Systems Development & Demonstration
SDD, System Development and Demonstration
SDLM, Standard Depot Level Maintenance
SDR, System Design Review
SE, Systems Engineering
SEAD, Suppression of Enemy Air Defenses
SECAF, Secretary of the Air Force
SECDEF, Secretary of Defense
SECNAV, Secretary of the Navy
SES, Senior Executive Service
SFR, System Functional Review
SGB, Small Group Board
SIAP, Single Integrated Air Picture
SJPG, SecDef Joint Programming Guidance, also called JPG
SLEP, Service Life Extension Program
SLRG, Senior Leader Review Group
SMA, Sergeant Major of the Army
SME, Subject Matter Expert
SMO, Special Management Office
SNAP, Shipboard Non-tactical ADPAutomated Data ProcessingProgram
SO IPT, Systems Oriented Integrated Product Team
SOAL, Special Operations Acquisition & Logistic Center
SOCOM, United States Special Operations Command
SOP, Standard Operating Procedures
SoS, System of Systems
SOUTHCOM, Southern Command
SOW, Statement Of Work
SPAWAR, Space WarfareSystems Command
SPEC, Specification
SPG, Strategic Planning Guidance
SPI, Schedule Performance IndexEVM metric
SPO, System Program OfficeUS Air Force
SPOC, Special Programs Oversight Committee
SPP, Sponsor Program Proposal
SPRG, Special Program Review Group
SRG, Senior Review Group
SRM, System Requirements Management
SROC, Senior Readiness Oversight Council
SRR, System Requirements Review
SRSG, Senior Readiness Steering Group
SSA, Software Support Activity
SSC, SPAWAR Systems Center / or Small Scale Contingency
SSCI, Senate Select Committee on Intelligence
SSG, Strategic Studies Group
SSPG, SecDef Strategic Planning Guidance
SSRC, Submarine Resource Council
SSWG, Systems Safety Working Group
STAR, System Threat Analysis Report
STK, Strike
STO, Survive to Operate
STOM, Ship to Objective ManeuverUSMC
STOVL, Short Takeoff and Vertical Landing
STRAP, Systems Training Plan
STRATCOM, US Strategic Command
SIT, Strategy To Task
SUGV, Small Unattended Ground Vehicle
SV, Systems View
SVBIED, Synchronized Vehicle Borne IED
SWCC, Surface Warfare Commanders Conference
SWDG, Surface Warfare Decision Group
SWE, Surface Warfare Enterprise
SWFOC, Surface Warfare Flag Officer Conference
SWIL, Software In The Loop
SYSCOM, Systems Command
T&E, Test & Evaluation
TAA, Total Army Analysis
TAMPS, Tactical Aircraft Mission Planning System
TAP, The Army Plan
TAT, Tactical Advisor Teams
TBMD, Theater Ballistic Missile Defense
TCPI, To Complete Performance IndexEVM metric
TD&E, Test Development and Evaluation
TDL, Tactical Data Link
TDS, Technology Development Strategy
TDY, Temporary Duty
TECHEVAL, Technical Evaluation
TEMP, Test & Evaluation Master Plan
TENCAP, Tactical Exploitation of National Space Capabilities
TF, Task Force
THAAD, Theater High Altitude Area Defense
TIG, The Inspector General
TIPT, Test/Analysis Integrated Product Team
TJAG, The Judge Advocate General
TMD, Theater Missile Defense
TOA, Total Obligation Authority
TOC, Total Ownership Cost
TPIPT, Technical Planning Integrated Product Team
TPA, Test Program Agreement
TPG, Transformation Planning Guidance
T-POM, Tentative Program Object Memorandum
TPPH, Transients, Patients, Prisoners & HoldeesManpower
TPWG, Test Plan Working Group
TRADOC, Training and Doctrine CommandUS Army
TRANSCOM, United States Transportation Command
TRL, Technology Readiness Level
TRPPM, Training, Planning Process Methodology
TSG, The Surgeon general
TSST, Total Ship Survivability Trial
TSWG, Technical Support Working Group
TIP, Tactics, Techniques & Procedures or Training, Tactics and Procedures
TISARB, Technology Transfer & Security Assistance Review Board
TISP, Technological Training Support Plan
TV, Technical View
TWCF, Transportation Working Capital Fund
TV, Then Year
TVCOM, Type Commander
UA, Unit Action
UAV, Unmanned Aerial Vehicle
UCP, Unified Command Plan
UE, Unit of Employment
UGS, Unattended Ground Sensors
UGV, Unattended Ground Vehicle
UJTL, Uniform Joint Task List
UNS, Universal Needs Statement
UNTL, Universal Naval Task List
USA, Under Secretary of the Army
USAFE, United States Air Forces in Europe
USAREUR, United States Army in Europe
USARPAC, United States Army in Pacific
USD, Under Secretary of Defense
USDe, USD Comptroller
USDI, USD Intelligence
USDP&R, Under Secretary of Defense for Personnel and Readiness
USDP, USD Policy
USDAT&L, Under Secretary of Defense, Acquisition Technology & Logistics
USE, Undersea Warfare Enterprise
USFF, U.S. Fleet Forces
UUV, Unmanned Underwater Vehicle
V&V, Validation & Verification
VAR, Vulnerability Assessment Report
VBIED, Vehicle Borne IED
VCJCS, Vice Chairman, Joint Chiefs of Staff
VCNO, Vice Chief of Naval Operations
VCSA, Vice Chief of Staff of the Army
VCSAF, Vice Chief of Staff - Air Force
VECP, Value Engineering Proposal
WARNORD, Warning Order
WBS, Work Breakdown Structure or Schedule
WCF, Working Capital Fund
WDID, Weapons Development & Integration Division
WF, WarFighter
WG, Working Group
WIA, Wounded In Action
WIPT, Working-level Integrated Program Team
WMD, Weapons of Mass Destruction
WPN, Weapons Procurement Navy appropriation
WRALC, Warner Robins Air Logistics Center
WRAP, Warfighter Rapid Acquisition Process
WTCV, Weapons and Tracked Combat Vehicle
ZBR, Zero Based Review
ZBT, Zero Budget Transfer
ZOW, Zumwalt's Own Words
